County,Per Capita Income,Total Personal Income,Median Household Income,Average Annual Pay,% of Population in Poverty,% of Population Under 18 in Poverty
Anderson,34242.00,1987998000.00,45969.00,44146.00,19.8,22.6
Andrews,50011.00,906592000.00,84946.00,68340.00,10.7,14
Angelina,38897.00,3387655000.00,46653.00,40464.00,17.9,26.7
Aransas,48389.00,1151262000.00,46912.00,38613.00,19.9,34.7
Archer,50310.00,442022000.00,61190.00,38231.00,10.6,14.3
Armstrong,47995.00,90807000.00,57210.00,38485.00,10.7,15.3
Atascosa,36660.00,1844379000.00,50594.00,51710.00,15.7,23.9
Austin,50702.00,1520493000.00,59942.00,47874.00,10.2,16.9
Bailey,42507.00,298694000.00,45051.00,39757.00,15.8,26.1
Bandera,43459.00,991906000.00,53008.00,35860.00,13.4,22.8
Bastrop,36561.00,3179953000.00,61883.00,39288.00,12.6,19.2
Baylor,41704.00,149384000.00,41180.00,35155.00,16.1,28.6
Bee,28457.00,927329000.00,41806.00,37001.00,26.7,32
Bell,42773.00,15211864000.00,54292.00,46975.00,13,19.1
Bexar,46058.00,91473170000.00,54210.00,50720.00,17.2,23.7
Blanco,51968.00,608130000.00,64832.00,48527.00,10.1,17.2
Borden,63756.00,41314000.00,66101.00,38302.00,10,14.5
Bosque,41592.00,777395000.00,48460.00,38772.00,14.9,24
Bowie,40010.00,3773940000.00,47339.00,40397.00,19.1,25.5
Brazoria,47239.00,17487902000.00,74225.00,59130.00,10.1,13.1
Brazos,39216.00,8892606000.00,50113.00,41593.00,23.2,20.2
Brewster,45652.00,423060000.00,45670.00,40768.00,16,21.2
Briscoe,35243.00,53429000.00,44409.00,32256.00,16.2,24.3
Brooks,33861.00,240890000.00,30116.00,43551.00,31,48.6
Brown,38830.00,1472596000.00,47097.00,37921.00,13.2,21.2
Burleson,42629.00,783900000.00,53626.00,45600.00,14.8,23.7
Burnet,46516.00,2211485000.00,56696.00,42591.00,11,18.6
Caldwell,33668.00,1456019000.00,52588.00,39602.00,14.1,20.7
Calhoun,38668.00,833716000.00,52085.00,66625.00,14.2,24
Callahan,39392.00,551248000.00,50330.00,42182.00,12,20.2
Cameron,28756.00,12189811000.00,38106.00,33599.00,27.9,40.2
Camp,38660.00,503851000.00,43714.00,39208.00,18.8,30.5
Carson,46373.00,278471000.00,64799.00,82411.00,8.9,12.2
Cass,36905.00,1111548000.00,44154.00,36834.00,20.4,32
Castro,42786.00,327951000.00,45689.00,36980.00,17.5,24.2
Chambers,53673.00,2278642000.00,89513.00,63980.00,8.5,10.9
Cherokee,34468.00,1812735000.00,43483.00,36122.00,17.4,24.6
Childress,30084.00,219339000.00,42291.00,38109.00,21.2,25.4
Clay,42335.00,442652000.00,58356.00,37220.00,10.9,16.9
Cochran,38312.00,108652000.00,42873.00,40099.00,21.9,31.8
Coke,41895.00,141187000.00,44804.00,40418.00,14.1,21.4
Coleman,40669.00,341499000.00,39484.00,30611.00,19.3,30.6
Collin,65874.00,66212712000.00,96936.00,66886.00,6.4,6.7
Collingsworth,33039.00,97861000.00,39536.00,40303.00,17.3,26.7
Colorado,46821.00,993400000.00,48258.00,42474.00,13.7,21.9
Comal,58067.00,8615549000.00,76523.00,43403.00,7.1,10.2
Comanche,42465.00,574718000.00,52251.00,34632.00,16.4,25
Concho,19801.00,84671000.00,40987.00,38074.00,26.6,25.7
Cooke,54174.00,2198055000.00,52047.00,46907.00,14.8,24.9
Coryell,33996.00,2543205000.00,48099.00,42286.00,15,20.1
Cottle,57288.00,79573000.00,38304.00,39743.00,21.2,40.1
Crane,47758.00,228953000.00,61987.00,66667.00,10.1,13.6
Crockett,41472.00,145110000.00,49117.00,41530.00,15.3,23.4
Crosby,30773.00,177835000.00,37911.00,36904.00,23.7,37.1
Culberson,54180.00,119412000.00,42164.00,51634.00,20.3,32.7
Dallam,52148.00,375466000.00,50587.00,44322.00,12.1,18.1
Dallas,58993.00,155610208000.00,59838.00,68484.00,14.2,20.7
Dawson,37111.00,468302000.00,43726.00,40178.00,22.9,29.9
Deaf Smith,40470.00,759213000.00,44230.00,41992.00,17.5,25.3
Delta,34803.00,186160000.00,44410.00,25868.00,17.2,26
Denton,55933.00,48049894000.00,88384.00,50734.00,7.3,8.1
DeWitt,54549.00,1101182000.00,49208.00,44910.00,18.4,25.2
Dickens,31586.00,71036000.00,39627.00,32808.00,20.3,27.5
Dimmit,36639.00,377675000.00,37177.00,55874.00,24.6,35.8
Donley,45736.00,151799000.00,40945.00,35153.00,18.6,27.8
Duval,36418.00,408323000.00,35156.00,38553.00,25.5,36.1
Eastland,71142.00,1303469000.00,44773.00,54155.00,18.7,26.1
Ector,47271.00,7663693000.00,60431.00,61871.00,12.9,17.9
Edwards,35182.00,67830000.00,37812.00,34591.00,22.1,37.3
El Paso,35856.00,30145813000.00,43948.00,38858.00,20.5,28.9
Ellis,44313.00,7951417000.00,76792.00,44378.00,8.8,14
Erath,39572.00,1679652000.00,47087.00,35913.00,18.1,20.1
Falls,34619.00,600118000.00,37428.00,37276.00,21.7,27.7
Fannin,37605.00,1326925000.00,53111.00,41415.00,13.8,19.5
Fayette,53564.00,1357792000.00,55776.00,41065.00,13.3,19.4
Fisher,46444.00,178298000.00,45261.00,42362.00,15.5,21.3
Floyd,37367.00,218109000.00,39891.00,37195.00,21,33.3
Foard,42954.00,51545000.00,37648.00,29202.00,18,31
Fort Bend,57540.00,45333473000.00,92310.00,51859.00,7.9,10.4
Franklin,39730.00,427729000.00,48222.00,42472.00,15.2,23.9
Freestone,37066.00,734199000.00,49317.00,43387.00,13.7,19.3
Frio,27545.00,545838000.00,41038.00,52388.00,27.5,33.9
Gaines,36009.00,752616000.00,56321.00,52567.00,15.4,22
Galveston,51785.00,17497755000.00,71959.00,49390.00,12.1,16.6
