County Name,Population,"Cases 
03-04","Cases 
03-05","Cases 
03-06","Cases 
03-09","Cases 
03-10","Cases 
03-11","Cases 
03-12","Cases 
03-13","Cases 
03-15","Cases 
03-16","Cases 
03-17","Cases 
03-18","Cases 
03-19","Cases 
03-20","Cases 
03-21","Cases 
03-22","Cases 
03-23","Cases 
03-24","Cases 
03-25","Cases 
03-26","Cases 
03-27","Cases 
03-28","Cases 
03-29","Cases 
03-30","Cases 
03-31","Cases 
04-01","Cases 
04-02","Cases 
04-03","Cases 
04-04","Cases 
04-05","Cases 
04-06","Cases 
04-07","Cases 
04-08","Cases 
04-09","Cases 
04-10","Cases 
04-11","Cases 
04-12","Cases 
04-13","Cases 
04-14","Cases 
04-15","Cases 
04-16"
Anderson,62245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,3.00,3.00,4.00,6.00
Andrews,17487.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,6.00,6.00,10.00,10.00,10.00,11.00,11.00,11.00,12.00,13.00,13.00,19.00
Angelina,94245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,3.00,3.00,4.00,5.00,5.00,8.00,10.00,10.00,14.00,14.00,14.00,15.00,16.00,16.00,16.00,16.00,17.00,17.00,20.00
Aransas,26041.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Archer,9847.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Armstrong,1970.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
Atascosa,55946.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,5.00,5.00,7.00,8.00,9.00,9.00,9.00,9.00,9.00
Austin,36542.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,4.00,4.00,4.00,5.00,5.00,6.00,7.00,7.00,8.00,8.00,10.00,11.00,12.00,12.00,12.00
Bailey,8426.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bandera,25100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00
